left,top,width,height,conf,text,page
9839.5,1095.5,336.0,178.25,80.5,ANO 20 No 7523,1
14001.71,1666.71,144.14,83.0,37.86,l |— ;47 y úagí;jf *33“?4£F3“Í5Lfííqm%,1
14752.5,1780.88,52.62,41.88,60.25,* LA. ee 0 a — al —,1
14377.25,1712.5,196.75,64.38,51.0,"í*f“o“*”?o""uf“ñw | …Í“L—o—fwqu (” r!.|, ñt:“ñ—;; , |",1
13364.78,13604.14,9.88,11.5,56.92,"2 5 ¡ ” 2 % a x y A y < E ; ** A le o | 2 » o ' & ” ”h y a : lr ” x y u y 5, la 2 — e u l '. 7 e — a p ” M E N m ¿ [ 5 4 A 'u | y a í"" y L 4 ' l x ” 3* y",1
13472.55,13953.82,36.64,37.73,56.09,"¡ g;>o a! I Q, = 8 _z 'd o |",1
15407.56,17542.56,140.0,59.44,33.33,= e t ' i — — a i,1
16022.39,17674.22,30.89,33.11,40.22,l d o d l ei la a l en i E —— ii — ii era a,1
16034.67,17725.22,44.56,58.78,39.22,im a ( o r a o l a,1
3922.83,3090.03,387.43,192.13,68.93,"Me mñ… H 1“Fr¡f¡ o Gary, llego al restaurante ¡ Foun rico | con arresto blanco gran eadi to y, paa | |, ”* tum¡fo ee .adt¡ T o |",2
2912.0,3579.1,400.8,159.0,86.4,"ra, esta vez el epicentro estuvo en la provincia de",2
3867.66,5232.13,425.69,170.48,71.95,"grados sacaron de sus camas a les habitantes que pensaban que se venia un terremoto devastador. Quin— ce casas fueran afectadas, a ¡E…JJ puente o p%t¡ medica, Cero victimas. Hace dos semanas, otro sismo de 5.5 - ú HEH”E el sur de se sintió en toda o“5? nlñ]% EÚUÍILHWWÍ& el Fem, una fella gesló— un LH: mna h¡©: -—pem5.5 2 $LUÍFW a twm mo más devastador fue en Pi&=a, en el Ess ludad, así como Mezcla y otras fueron afectadas seria— mente. Hubo decenas de muertos y heridos. La p ee 2 i a e e, jp que todo estaba preperada. Menos las construcciones, que se vinieron | * 1:? wah Miiñ]|í& abajo como castillos de naipes, No me quiero ni imaginar lo pesadilla. espera",2
11904.24,6818.6,385.28,154.2,68.92,"** :m qM€ l m g Club de Avella— la requipeñc ES£5E orgulloso de mi e—qw¡p. Wam.5 LEI cel Sur! Le dijo a Universitario, Al|may",2
3408.21,6609.5,349.79,160.14,82.79,"¡¡e e pasaría en Lima si un terremoto de 7.9 grados, como el es",2
4225.86,7562.31,427.52,164.6,75.14,"—!e Hay mies de callejon: íimgm1¡du5 casona viejas e construidos sin su— el revisión de un o arquitecto, que se €Ei E%m¡ segundos, matando a sus e t EUTJÍ¡E están ubicadas en el Rimas, La Baiss Altes y Luto Amire la zona antigua del & También en los conos, o Vecino de San Juan de Mira población suele levantar sus solo con un maestro de",2
7864.57,7056.43,369.71,129.71,51.0,¡ e w¡hi&ma d€l Etíimgííl g©=€&¡ot a,2
7177.4,8654.6,434.67,173.38,74.71,"de estructura, usan materiales h¡r¡t15 y colisionan con la M o tr l ) Luego del 8—1 aplastante de River Peste normas técnicas de construcción. En unos días más el Ins— l: soles en la ©b[fo¡ mbwa F©[F”EU el defenes— sobreAlianza Liman la Copa Mh:íñ£¡d©mg",2
3825.48,10571.58,410.52,172.13,70.51,"Nacional ee realizará un simulacro de tnoad© alta Í:B¡©[F!E IU!LU…]U'U©$ sismo a nivel nacional. También se a e activara la alerta por te— | _ que el paso a desnivel no era la solución. Eso llamada a fin de [FEW ra la t:me¡ que se it mm©oáémn tiempo, ante la mmm n en ca de un fuerte temblor, de salir a la ee prut:g:me en un lugar segura. Algunas re mu1== ones pa me mmoiWÍEE las rutas o … ese E H¡5 salidas de tu casa, fucus '…[ñ]ÍI'I de etrabajo. ©Hantenia Um e ¡WÍEE a a urmmdu¡tn 9 a los más vulnerables [ancianos, niños I gente ee 2 fuera cle e=sa el ng¡wo mas seguro para e e a la maroa la 'mechila de emergencia, que e ie m¡mt¡5 mel bloques ss viss ee eliza con cajas, muebles y otros, Es mortal hacerlo. …mñr?&2 fm ey iii |",2
12710.42,9110.58,296.58,169.0,64.79,"la ee Melgar es un viento fresco para el bo e el lector, — compra © — SIENTA 4",2
10025.77,7531.2,26.79,24.7,74.38,0 0 0 0 0 0 0 0 0 0 % 0 0 0 o 0 0 o o o Pr % o 0 0 0 0 0 0 o 0 % 0 0 o 0 0 o o o o Pr 4 o 0 0 o 0 o o o 0 r o 0 0 o o o 0 o o rP % o o,2
14422.25,13225.62,297.0,135.5,57.5,m*-a ee i in Lo+ga en la Biblioteca,2
8635.36,13540.85,287.98,121.14,59.12,"s la Perlodístico: — porEmpresaEditora El — Páginaweb: | — |:| a l P | ' 1 y y la l y 5 | F""% a las ré FEFF Al teme e ea e ds ta Lll U…W% HLíñlúmgngu m E'Úwg%% n | |. Jorge Salazar Arroz E=mañll ol rroqu: H¡memt¡wz Me vey, cuidense. LaVictoria, Lima T©& ea pr",2
11248.82,13929.0,15.91,11.36,53.45,".im EL¡H, ” s 5 = H el > ya",2
15890.64,17547.82,261.64,83.0,48.36,"el o r l o ITFHE$EIE""EH +1 545 . oo E|on=""¡?.&&¡amw",2
1031.8,3447.6,331.6,142.8,51.8,I la a M fio[lerl¡,3
8884.17,925.5,544.33,160.5,73.67,SABADO 230 DE MAYO DEL 2022,3
10937.4,2718.2,428.5,172.7,61.7,FEFEBEME£IEI…F no He uam po[r— e E[ñ] a BIWiWIE Te,3
1939.08,2983.25,827.83,178.25,52.83,"xavier SulcaRemuzgo (32), quienestababorrachovcondu— cilaunaminmwán, chocódema— — ” a ndola muerte de su ajera, en Sanjuande",3
11213.73,4249.0,386.27,151.91,55.55,"Um II""I que EL de s la alture s a =FEF¡ÍE | ©»oomegfo_",3
1956.56,4558.33,487.89,158.0,45.33,sujetoembistióaotrocarro a a i o E ííñ]i dela comiste,3
14183.17,2108.83,927.5,201.83,51.5,"gocalisionó,casidemanera frontal, contralafrágilun+ ells d: ifmwl¡",3
14346.28,3881.22,463.22,160.83,54.17,"| U¡WETEWHdIME ” (39), qu Is l E[ñ] ít…amh oieénsalióvc H¡nd¡ym[u= Suesposoyfamilarom— / mirones llanto. a a ”",3
11598.62,3563.62,11.08,13.54,51.15,a .o e ez a ” : cae l 3 a : a,3
12817.0,4699.57,187.57,107.29,50.86,"Allele lo |, E el — .",3
6912.0,1706.23,227.77,124.46,57.62,3 Uno dle las — | | E jr l a o e tenio los es,4
4205.9,4940.0,439.89,165.96,57.95,"2 ih¡lm :m o ol[í'mi El$'&fííh[5i ii. e ds ¡ [ñ]:¡[ al y en busca de eg ee E:QM pui5|5E i%WEÍÍHW% los pel:— — el verlos pasar, los pers:— aquelteros, cor !M E EWEEE£&¡TLU? T damncnn&¡&gaf o “ij… ee el cruce de los drones José memipaa—atillpwl¡ñmouie l on arrestados en la LigadeCampeonesdekEu— _ . la, asentamiento hwm¡mn U a ee Him uh es l UL L$ u¡memííe e Uñjflfrm:agw p[ím i LMÍJ?$ ©] F]ñ y et %MEI'2 lasit50delamaña— Em :Eí ie e nít&gn*mt»h F H&3f£f¿ Melle Navarro ©iWEWHWÚI — flaco, y Crith puñendoarmasde V ' (CHñ Borda (24), £Ch e ee ""i% no a SÍ be E[ñ]5] l d…",4
7084.0,3995.4,349.0,209.6,66.8,¡pw estas ©]: ——c ue,4
13087.0,4778.6,84.6,52.4,59.2,'$ m L T'.I >,4
1335.83,5266.5,320.5,157.83,61.0,Hi$… 5 E hiJñ]di un H“,4
1307.0,6310.0,348.0,161.4,51.2,| TáLÍ¡ UTHU[¡$ Him FE[¡;.,4
4634.8,7155.6,429.2,170.6,68.4,inE emt:5 H i|EE II',4
6969.75,7797.5,440.25,166.0,53.0,EH&J E.Gj%f$&l] m d[F,4
1270.73,7572.59,9.68,12.14,54.41,v im ; F = a : 2 — ' : s < [ G n — a [ E : |,4
6563.36,9469.36,687.18,186.18,59.18,"' h¡mpsnagm HI$©H""&'ÍEE©]E icajón, detectives del Depin— mente en el local de ee l o w¡……",4
8543.67,11355.2,617.33,189.8,53.98,"ooo“& / LA£1'I'E]EIH gadore: ee píim&.m¡lam1]]¡m¡ a t )_ *_ Vasquez Kruchinsk ÍE$ÚW a o 2 :…ipumf&añwlg ser antecedentes pretor E malhechores, tirándo— [¡5ol!l_%ñ?¡%íj'iilyh[wñ© los al piso gravado. ENÍET¡E¡HÍ&WÍE, e 1 1¡=*tiWEBUSÍHÍ CArse, i que los policias se acer *”* > jo que es un lhf|r|3¿ff"" aman armojóunre— en su hlf¡ : o 'u=»:nf“¡H=:=.u—:legynÍ",4
