left,top,width,height,conf,text,page
1005.82,499.45,243.36,80.91,64.45,"A POCAS HORAS DE CLARO NUEVO PEIF<2QDAN.S PIDEN QUE VACUNA, ©",1
2067.5,1063.25,218.75,34.5,74.0,DORES'AGRARIOSVOLVIERONA 'BLOQ EARLA CARRETERANIUNMENOR,1
1795.0,2219.0,182.5,54.0,62.75,IDICEQUEHAYQUEIBOTAR: ILO MALO ¡Y¿HARAILA“DIETA,1
350.62,314.5,122.12,52.0,90.25,Niño de 7 salva a hermanita de incendio,10
271.72,764.96,56.88,23.2,89.2,"G» [ Davidson se ha con— vertido en un verdadero héroe, ya que rescató a su hermanita Erin (1) de un voraz incendio que consu—",10
675.1,641.14,55.54,24.1,89.92,"mió su casa en el pueblo de New Tazewell [Estados Unidos). Chris, padre de Erin, señaló que la más peque— ña de la familia quedó atrapada en su habi— tación. ”El no lo dudó y entró por una ventana, llegó hasta la cuna y pudo sacar a su hermanita. Fue acto de valor único”, relató a medios locales. o",10
1196.33,158.5,94.0,24.5,90.83,JUEVES 31 DE DICIEMBRE DEL 2020,10
982.0,590.0,164.0,49.0,44.75,Robar calzones VI 1r¡||||b»)£»,10
1473.0,642.86,72.0,24.57,46.57,|nmu;p(%|nm…lnux ¡.1(oxmtq|u ell posts a a o ller si l,10
1451.15,1096.49,61.4,23.57,84.19,"_Sepa que... l +* Las uvas también tuvieron gran salida en los diferentes centros de abastos. ¿ Mientras las verdes se vendian a 7 soles el kilo, las borgoña estaban a 5 soles. *» Muchas personas cuando da la medianoche, comen 12 uvas para la buena suerte.",10
2020.75,320.5,159.0,54.5,72.0,Tom Cruise manda — _ construir estudio anti—Covid,10
1950.34,481.45,61.66,25.34,86.62,"(D El diario The Sun [Reino Unido) reve— la que el actor Tom Cruise (58) mandó a construir un estudio anti—Covid, donde se terminará de rodar su película impo—",10
1947.72,712.5,71.3,24.42,89.5,"Para lograr esto se vienen gastando varios millones de dólares en la adaptación de una antigua base militar ubicada en Lon— dres. ”Tom está empeñado en terminar pronto de rodar sin más costosas inte— erupciones debido a la pandemia de coronavirus”, manifestaron fuentes muy cercanas al polémico actor. _ G",10
1789.89,1065.33,101.0,36.67,84.33,Las compran para recibir el 2021 con buena suerte,10
1846.52,1469.35,58.07,23.63,89.74,"rosas amarillas cues— ta 35 soles, frente a los 25 que costaba semanas atrás. De igual modo, doce gladiolos se ven— den a 15 soles [subieron cinco soles). ”Cada fin de año pongo en la sala y comedor de mi casa flores amari— llas, son para que nos traigan prosperidad y felicidad. Es una",10
2303.57,1490.48,64.15,23.58,91.15,"res afirmaron que tuvieron buenas ventas. ”No es como en otros años, pero hay salida de nues— tros productos. La gente compra y es porque quiere olvidar este 2020. Además, esperan que el 2021 sea mucho mejor, bueno, eso lo",10
1421.13,1897.97,60.58,26.5,82.54,"creencia que tene— queremos todos”, dijo nr e l un comerciante. pocas horas de la Es así que en el Mercado de desde mis bisabue— En nuestro país una llegada del 2021, las — Flores, ubicado en la zona los”, manifestó Gloria de las tantas cábala flores, sobre todo de Piedra Liza [Rimac], la Yánez. para recibir el nue— las de color amarillo, — docena ha subido entre cin— BUENAS VENTAS vo año es tener en han aumentado de pre— co y diez soles dependiendo A pesar de la subi— casa flores amarillas y cio en diferentes mercados — de la clase. da de precios en las asegurar que sea ven— de Lima. Por ejemplo, la docena de flores, los vendedo— turoso. [<] M ir oo pl po ÍAB%IIÁCC? ¿)¿: G$ EI ncp <f1e la E en_re avión infor— Conozca los del público me que ls tarjetas e débito que tienen",10
345.8,2417.87,36.73,23.87,46.2,s t 25 ell mil ple ete fi en cpp l tiny ese sútil sí l [ s ea,10
740.43,2484.29,25.71,24.0,41.14,a 2 ee l (e a a1,10
1073.17,2280.33,33.33,23.67,64.17,"ie ell (oi("";nmt (JI %i1| (a",10
1055.29,2450.57,26.29,28.43,55.14,©y 0 s a a os a,10
1513.57,2232.29,39.57,23.14,43.14,s a eg S be (…1| Into)r…,10
1514.75,2440.5,24.75,27.25,41.5,'<'?Xu) o ) l,10
2175.76,2266.14,66.21,24.21,90.76,"fecha de vencimien— to entre octubre y diciembre del 2020, podrán ser usadas hasta el 31 de enero del 2021 a través de cajeros automá— ticos, agentes Multiped, Multiped",10
2208.65,2486.53,65.74,24.21,87.81,"Virtual y aplicación Banca Móvil. En caso las tarjetas hayan vencido entre enero y setiembre del 2020, sí deberán ser reemplazadas por una nueva, sin costo, en cualquier agencia del Banco de la Nación. El único requisito es presentar el DNI E [<]",10
645.5,2034.0,51.5,30.0,90.75,harán en el club,11
1855.2,447.92,132.48,42.16,85.8,"BOTÓN DIJO SU VERDAD SOBRE INDISCIPLINAS, LA BAJA Y RUMORES DE ”CAMA' EN ALIANZA LIMA, QUE DESPIDIO AYER AL ”MUDO' RODRÍGUEZ, ALTAIR SALAZAR Y OTROS",11
1448.14,1523.1,82.17,24.73,76.24,"os guantes delego Bu— tren cuel— janenna esquina de suhabí— tación.AlianzaLi— ma comuna deci— siónqueélsenegó a tomar. El portero, de 43 años, tiene un fuertedolorenelco— razón habló sobre su salida de Matu— te, tras seis años se— ruidos [nueveento— tal). Elabora exfut— solista blanqui azul se va con rabia en un día donde club anunció despi— masivo de susju— g adores de cara ala próximatemporada enlaLiga2.",11
1769.59,1229.18,114.0,29.06,78.29,golpeado y apenado porla situación. Lo único quememantenía condenas era jugarconAlianzaen Segunda. Quería quedarme para barrerlo queensuciamos”.,11
1792.75,1399.83,71.67,31.83,78.58,quizás faltó serás incisivo como líder. Tengo que aceptarlo novo a huirdeeso”.,11
1837.81,1545.12,57.38,25.88,63.25,[Carlos) Stein ganó en la e e ese a enla tarde más bulla habían un cementerio”.,11
1807.85,1727.85,79.31,31.54,67.15,"gas que estaban rea cio s a que dirija (Daniel) Ahmed, porque habíantenido malas experiencias conél”.",11
1805.39,1884.06,73.33,31.28,82.0,"hablamos con el profe (Mario) Salas para que cambie, creía mucho ello quetrabajaba. Amame costó bastante, sentía que arriesgaba",11
2179.75,1174.5,78.75,30.5,74.75,_ presionado. Mirabas partidos,11
2220.62,1286.5,83.25,30.25,65.25,£6Deduje que Mario Salasnome tenía census planes cuando me dijo,11
2266.75,1459.75,72.12,27.25,68.38,"Tuvimosvarias reuniones, en especial a comienzos de año,",11
2151.4,1503.2,77.4,30.8,56.2,— — que fueron calientes. Cuandofueron,11
2234.2,1596.4,71.2,29.1,77.25,"tantas veces (indisciplinas)hablamos tonel club para quemen la decisión, queno nos ibamos a meter, pero se demoraron. La inacción fue",11
2233.5,1766.58,80.08,29.08,69.17,"GO Mejore que digan que 'volteo” técnicos.ConRusso hiena buena amistad, cuando viaj amos a",11
2229.8,1852.2,76.2,30.2,74.6,"| jugara Argentina, el profe solo quería : hablarconunh1tbolistadeAlianza1 |)",11
2191.57,1920.86,74.71,25.43,68.57,eseerayo. Con Pablo (Bengoschea Mario Salas igual”.,11
1579.95,1998.74,86.95,34.11,90.47,"ALIANZA LIMA anunció que Alberto Rodríguez, Altair Salazar, Espinoza, Anthony Rossel, Franco Medina y Didier La Torre no conti—",11
1393.57,2067.1,69.38,32.71,90.57,EL VOLANTE Amir Oliva (24) será el primer refuerzo. Hoy termina su contrato con Cristal y préstamo en la San Martín.,11
341.71,2149.71,126.71,23.14,76.57,$COMIZZO 'GOOGLEARÁ:' A SANDOVAL ANTES DE FICHARLO,11
398.88,2428.3,61.59,24.6,90.25,"©9 En estos tiempos, Google es una herramienta que ayuda a fichar a un futbolista. En la *U! están interesados en Kevin Sandoval, que fue dejado de lado en Cristal. Incluso ya habría un acuerdo en la parte económica, pero el profesor Angel Comienzo ha pedido un par de días para buscar información del volante y saber por qué, pese a ser un buen jugador, los pienses no le renovaron. En el ataque,",11
948.35,2521.04,65.31,24.88,90.15,"están tras el argentino Bernardo Cues— ta, que cerró el 2020 en Puebla de México, pero Melgar también lo pretende y podría ofrecerle un mejor sueldo.",11
1639.19,2415.37,66.72,25.08,89.74,"€? Negocios son negocios. Desde el fútbol h9lan— dés y español desean contratar al ecuatoriano Washington Corozo, que tiene contrato con Cristal. Los representantes del jugador intentaron negociar con los dirigentes pienses y ellos fueron claros: Su contratación fue una inversión, son dueños del 70 por ciento del pase y por ahora no lo venderán. En el Rimac, esperan que Corozo destaque en la Liber— adores y cuando eleve su valor, recién podrá ser transferido. Esa posición no les ha gustado ni al fut— solista ni a sus empresarios. o",11
1907.56,2122.22,87.11,23.78,90.89,NO VENDERÍA A COROZO HASTA DESPUES DE LA COPA,11
450.75,447.0,17.25,23.0,45.5,M A R o,12
352.77,1541.46,67.1,23.86,87.92,"DEL SAQUE somos camecita... LA FIRME que todos están con— tando las horas para que este 2020 seraya de una vez. Y los que están con ”terciana' son los *partidores” Ese 'dengue' es más fuerte que la nueva cepa del coro— navirus. No saben qué excusa inventar para meterse una esca— para y ver a la ”canalla” A pesar de la pandemia, hay algunos que no aprenden. En estos tiempos, no hay nada mejor que pasarla con los que más amas, en casita, cuidando a los tuyos y agrade— siendo a por tener salud. Sí, señores... A PROPUSO TO, me cuentan que 'Cachurrito” anda desesperado por conquis— tar una nueva flaca. Dicen que su nombre empieza con 'C' de Cynthia y es modelo. Ella se ha ido a vivir a Tarapoto y lo ha dejado loquito. Fijo que también se arrodilla , pide matri y después lo atrasan'. No se olviden que el hombre fue primero que el ”ruso' con la 'Totó' ME AVISAN que hay un ro' que tiene buen corazón con sus ”amiguitas”. Como no pudo pasar Año Nuevo en la capital, mandó un ”causa' para que le regale un celu— lar de última generación a María Fe, una mamacita que vive en Chorrillos. El hombre también le dio un buen centro, pero le aclaró que nada de verse ni ”wWasapearse' para evitar problemas. Ya aprendió la lección después de lo que pasó con la rubia. Asuuuuu... ASÍ QUE EL ”REY DE LOS BLOOPERS' no le teme al ”bicho”. Está fulbitean— do en todos lados sin tapioca y el único que alcohol que usa, no es para las manos, sino el que se mete a la garganta para apagar la sed después de la pichanguita. No sean malos... Así que la admi— castradora del club del final de la Javier Prado capó sus chivas y se fue de vacaciones a una playa del sur. Mientras todos los clubes con— tratan y arman sus equipos, ella está tomando el sol y metiéndo— se sus chapuzones. Hummm... UN ABRAZO y los mejores deseos para todos los lectores. Pidamos salud y bienestar por nuestras familias en el brindis de las 12. El próximo año regresaré más bra— vo y con las primicias para toda mi gente. ¡¡Feliz 2021!... Me voy, soy fuga.",12
783.72,2312.44,126.28,41.0,82.61,LAS MEJORES TOP MODELS DEL MUNDO LLEGAN BRASIL PARA LA t a DE CINCO DÍAS QUE KEYMAR MANSIÓN,12
1294.25,2400.71,75.63,25.77,81.03,"todo el mundo han llegadoenma— sa a Brasil para la fiesta de fin de año, decincodías, denominada El astro del PSGnegó que tenga que ver con la organización del evento. El juergón' empe— hará hoy y será en una discoteca subterránea delamansión de 'Ney'. El diario inglés The Sun' reveló quedas se están pasando la vozatravés de paredes so— ciales para llegara balneario brasileño de Mangatatiba, incluso algunas atienen la pulsera de invitación con la que podrán ingre— sara recepción de 150 invitados. La Agen— cia Fabrica se adjudicó la organización del evento y el costo to tales de 850 mil dólares.",12
1361.67,2096.67,105.5,23.67,83.33,Todos quierenes— tar en esta fiesta. Las topmodels'de,12
1882.07,2321.55,83.8,26.08,82.41,"Elhangardel lugar ya está funcionando para recibira las espectaculares modelos queya están en Brasil, al que llegaron en aviones pri— vados. Desde Miami arribaron KikiPasso, Mi— chille Nevins y Jessica Bartlett, quienes pos— mearon fotos en Río mensajes: ”Llegamos en nieta terminare año con glamour”. También estará la influencerbrasileñaAna Liz Bittencourt, quien fue relacionada con Neymar. En tanto, las modelos locales Cami— la Remedy y Fernanda Brumyaestáninsta— lados en la mansión, a dondearribaría nada menos que Carol Dantas, exesposa de ”Ney'. Porsupuesto queno faltarán las estrellas del deporte el espectáculo, asícomobandas g;usica[es para una fiesta que seráinolvida— e. [+]",12
2569.57,642.57,51.71,31.14,67.71,BAR e meses ¿ Rey rodilla [,12
2547.11,1054.78,75.89,31.89,81.22,Las ba platan carga regreso fuerte dvd nunca Crist,12
