left,top,width,height,conf,text,page
614.17,160.25,140.08,50.33,46.75,ps O o'lr.¡P| M*IÍ¡M?':;¡Ir1¡IL_ij ______ j l|x| ]H r] 10,1
1640.14,746.57,220.57,70.71,50.43,X ”“%_/ AFIRMAQUESON LUGARESIMUYCERRADOS f* V ELPRÓXIMOANO:,1
712.4,2510.0,239.6,86.0,65.0,©.[R“] A TERREMOTO UE1…&M…(&Z IE,1
224.72,757.37,130.37,29.38,77.75,"reinicio delataste Adelareactivación a M ( y discotecas, inclui— dos inicialmente en el grupo de actividades devolverían aoperar, no abriránhastael próximo año, informó el al— calle de Lima, Jorge Muñoz. Laautoridadcapitalinaase— guróquesibienestáafavorde que el gobierno implement e lareaperturadelasactivida— deseconómicas, estas deben hacersesinperjudicarlasa— lud delos demás, paraasievi— tar que se eleven las cifras de contagioso fallecidos porco— ”Loque dicho la ministra economía [MaríaAntonie— taAlvalesalgomuypruden— te, unareaperturadebehacer— se de manera gradual.Noto— doloqueestabaprograma— do puede hacerse a la vez.Lasdiscotecas ylosbaressones— paciosmuycerra— dos donela gen— teestámuy cerca, esc en definitiva ee e to para que ld",10
1097.75,158.25,68.25,23.75,80.0,VIERNES 25 DE S',10
679.14,764.0,42.71,30.86,53.14,>…3 …1 ) ca||m e e k*“,10
454.43,1550.71,192.29,51.57,90.29,Peruanos responden bien a vacuna contra coronavirus,10
272.36,2252.76,69.58,25.83,83.53,"Después de cumplir— se dos semanas del inicio de los ensayos cli— nicos en nuestro país de la vacuna contra el coro— virus desarrollada por el laboratorio Sinopharm (China), el investigador principal de la Universi— dad Peruana Caetano ese ea informó que los volunta— rios que participan de las pruebas están respon— siendo positivamente. E o a varios que",10
684.65,2084.92,75.15,24.81,85.12,"participan de los ensayos han reac— clonado bien, no han reportado síntomas fuertes, pero segui— remos investigando n 5 nas son seguras y funcionan”, comentó. Además, el espe— ciclista señaló que en un mes, como máximo, voluntarios restantes. ”Algunas personas han reportado síntomas de Covid—19 y se les ha impe— dido ser parte de estos ensayos clínicos. Estamos proyectando solicitar la participación de E rios para las e ese las próximas semanas”, |a Hernández)",10
1095.06,1126.29,136.65,29.82,71.71,"vaparaelpróxi— mo año” sostuvo Muñoz. Además, se mostróafavor del re inicio de los vuelosinterna— cion ales y de los demáscomer— cios,comogim— amplia re la foro a los centros comerciales yres—",10
1007.8,1621.2,131.4,55.6,91.2,Menos gente en las playas,10
1067.83,1873.83,41.83,27.83,87.5,(O Un aforo del 50 por,10
1066.84,1988.96,70.0,25.12,91.2,"ciento en las playas de la capital estableció la Municipalidad de Lima para la temporada verano 2021. Esta medida, que permitirá reducir la propagación del",10
1438.9,1306.4,149.5,32.0,73.2,"nitarias. Sinembargo, expresó preocupación porla segun— dao la de contagio s que sevie— neproduciendoenEuropay",10
1415.65,1993.9,74.75,23.8,91.3,"coronavirus, fue incluida en el protoco— lo ambiental sobre la habilitación de los balnearios en la ciudad. Entre las recomendaciones",10
