left,top,width,height,conf,text,page
1654.5,213.3,233.2,84.7,59.0,"—— tov Qg¡¿ u — /5,ooo —— o“a / nooo",1
1415.6,607.6,471.8,309.2,53.0,Ú]'L'&.g $© M©$ 'QRM a,1
1633.38,966.5,306.88,66.0,68.38,AL GRITO DE 'VAN¡US PERUANO [ TRIUNFAR …,1
723.17,1010.33,186.75,81.58,59.5,SELECCIÓN RECIBIR EL CARINO IE MILES 13 HINCHAS a 2 eg y,1
1523.4,2728.67,41.27,21.73,61.8,"l _Gc¿nzá_lez | m izquierdo dice n P 1 y ra , la — |",1
1606.25,2850.5,83.82,28.36,68.46,sería un inepto A' 'A & 60NOMISTA [N 1 si no |o hace y 3 ' resbalan las críticas AGINAS'S: ( SE | P 0 PAGINAS'24.y. 25 0,1
223.0,144.5,59.25,41.5,62.0,2 — (AL DÍA),2
478.86,383.43,114.29,64.43,60.86,2 (CHAT© 1 $U CARIN© DEL íRAIAJ]©,2
587.27,815.38,63.36,29.18,88.14,"| Chato Matta llegó al restaurante por un poderoso y humeante caldo de gallina con huevito duro. De segundo, un escabeche de pollo con arroz blanco y su jarra de doliente con linaza, ”María, esta— ba tranquilo navegando en una cabina de Internet y recibí un mensa— je en mi Facebook. ¡Una confirmación de amistad! Era de Rafaella, la morocha con la que trabajaba en el ministerio, en la época del Chino Fujimori, Mi mente empezó a volar. Ella era del y no pasaba de los veinticinco años. En ese tiempo era secretaria del jefe de personal y la reina' de edificio, pero como nunca me gustó ser uno más en la lista de ”giles' que estaban atrás de ella, no le paraba balón; a diferencia de otros jefes e incluso gerentes que la invitaban a salir, le mandaban chocolates y flores. En realidad, la morena estaba diez puntos, mejor cuerpo que el de Dorita y sin ninguna cirugía. Una noche, en una fiesta por el cumpleaños del ministro, ella se había sentado en la mesa con los bravos”, que le servían los vasos de whisky etiqueta azul. Yo me encontraba atrás, en la mesa de las secretarias y las de administra— ción, que hablaban pestes de Rafaella. Lucía de la Cruz cantaba a todo volumen: ”Este secreto que tienes igo nache lo sabrá, este se—",2
509.79,1220.38,75.03,37.21,87.38,"creto seguirá escondido una eterridad... Nache sabrá que tu pecho puntito al mío ha latido, que disfrutamos instantes de fascinante dulzura..., y todo el mundo la miraba. Me fui al baño y cuando regresé, afuera estaba la morena esperán—",2
581.08,1823.29,63.98,30.52,87.46,"dome. Me iba a pasar de largo y me jaló: Oye Chato monse, qué tie— nes conmigo si yo no te hice nada'. 'Anda baila con ese viejo feo del gerente; la arroché, 'No, voy a bailar contigo', me susurró al oído y me apretó la mano. Había tomado bastante whisky y acepté el reto. Ella me habló despacito: sal primero, yo te sigo, vamos a otro lado'. Nos fuimos a 'demoler hoteles' como cantaba Charly Gar— día. Allí, antes de hacer el amor, pasándola con una cervecita negra, me cantó su canción favorita, la de la tía Lani Hall: ”En la calma y en locura te seguiré, si me pides dulzura, azúcar te daré/ si me quie— res como aventura, de…mneveshmjmxesoylamhd de ti, te seguir&. Me gustaba ahí nomás. De un momento a otro se ponía en plan de 'esposa', me celaba y le dije para terminar. Se puso como loca y amenazó con ir a contarle todo lo nuestro a mi señora. Al toque llamé a Pancholón: te preocupes”, me dijo. Cítara en el restaurante donde siempre se encuentran y no vayas, yo me de todo'. A los tres días, Pancholón llegó con unas fotos en blanco y negro. En ella se veía a la morocha chupando con un gringo en el restaurante y en otra, entrando abrazados al hotel, 'Dale estas fotos a una amiga tuya que le tenga bronca para que la amenace con entregárselas al jefe de personal, que tiene algo con ella' La tía July se prestó para la jugada. Rafaela vio las fotos y quiso darle la mitad de su sueldo. 'No me des nada, solo deja tranquilo al Chato, él tiene su esposa, lo tuyo fue una aventura de una noche de tragos y nada más” Ella aceptó. ¿Qué había pasado? Pancholón hizo la famosa 'carnada” Mandó al restaurante a su cliente, el cotizado modelo brasileño con pinta de Brad Pitt, a enamorar a Rafaela, que con un par de tragos se le toditita' Ahora ella, después de años, me pide confirmar amistad. No, esa mujer es un peligro”. Pucha, ese Chato también tiene sus historias. Me voy, cuídense.",2
1280.5,150.67,89.83,25.33,90.5,DOMINGO 27 DE MAYO DEL 2018,2
1266.25,1004.5,109.0,41.75,64.25,Molesta por ”bulla infernal”,2
1442.75,1093.0,65.5,32.38,88.38,G)>Quiero expresar el malestar de los veci— :,2
1331.76,1228.0,60.48,26.28,89.54,"nos y el mío por un restaurante que estaría funcionando de manera clandesti— na en el jirón Diez Consejo [Condevilla, San Martín de Porres). Todos los días y a toda hora de ese local sale una 'bulla infernal”, producto de la música a todo volumen que",2
1983.0,447.14,106.57,30.57,59.43,£N £¿ CO/VGRES COMPRADO 7Z'¿£WSOR£$ CON E,2
1905.82,1106.82,75.36,28.82,88.09,C> Los amantes de la música criolla se encuentran cordialmente invita—,2
1880.64,1256.64,60.09,28.98,79.36,": dos, para este domingo 27 de mayo, al : gran almuerzo que se realizará en la peña :_'Domingo Giuffra', Se presentarán Rudy Rey : y Marlene Guillén, entre otros destacados : artistas. Los esperamos para disfrutar de et e Mónica Torres : :",2
1386.2,1497.5,44.5,39.4,90.4,"En su carta, la lectora afirma que se ha lla—",2
1402.94,1558.18,58.94,30.41,90.41,"mado a las autoridades del distrito, quienes : anuncian que tomarán las acciones del caso, pero :",2
1300.89,1629.61,56.33,36.94,88.28,que al final no hacen nada. Los vecinos tienen derecho a vivir en paz y no soportar maltratos.,2
1502.11,2334.37,49.63,24.63,76.21,"Director — Contenido elaborado i e o Carlos Jr. Santa Rosa N.o 247, Piso 7, Limal, Olnay — Teléfono:",2
679.0,2779.0,475.25,78.5,65.75,A—S=ESTADISTICAS maenmp¡ ANECB©TA$©'Y C©NTAEAS,2
1954.21,1538.54,67.17,37.79,88.25,"La peña Domingo Giuffra' se encuentra en la avenida Manco Capac 1537, en La Victo— ría, Se ha convertido en el escenario por donde",2
1918.18,1622.27,55.55,31.55,72.55,: han desfilado grandes exponentes de la música d d s,2
2073.85,2044.46,75.77,24.92,87.62,"NADA QUE VER, MEJOR ME DEDICO A LA MODA Y A LAS PASARELAS",2
2025.27,2293.64,39.55,21.55,60.27,s un e ss Editora El Comercio SA. Jr. Paracas N.o,2
1909.89,2370.67,55.89,21.11,65.11,"A om | Todos los derechos reservados, Publicidad: 708—9999.",2
2108.33,2390.67,53.5,21.0,88.5,Prohibida su reproducción total o parcial.,2
2456.11,401.59,63.73,32.11,78.51,"Gracias a los trolls, en especial a una Keikolover, que hoy me enseñó que no valgo nada por m tener maf do que debo superar el haberselo abandonada [recién me entero de tal trauma) y que nadie me querrá por ta en e o",2
2414.86,691.79,54.36,35.64,80.79,Muchas gracias a toda la gente que vino al estadio Nacional l d l,2
2379.0,837.2,123.2,23.8,63.6,©renatotapiac RENATO TAPIA beg CORTIJO,2
2418.88,1206.12,58.0,25.88,78.75,¿Cree que deben extraditar a Elaine E el,2
2502.0,1606.5,42.25,29.25,63.0,£ — >VENTA 4,2
2578.14,1880.29,89.29,20.86,71.57,3 ] E 4276904 6175000 3178000 2247800,2
2330.88,1909.38,84.88,23.75,89.75,Emergencias Escuadrón Verde Luz del Sur Semanal Indecopi,2
2399.0,2090.5,197.0,33.67,42.5,p —— ©AM TOME e u,2
2447.48,2314.13,47.17,26.61,82.78,Hecho el Depósito Legal en la Biblioteca Nacional del Perú N.o 2001—1992. Los artículos firmados y/o de opinión s e a sus autores.,2
1650.75,152.12,96.12,29.62,87.5,"DOMINGO 27 DE MAYO DEL 2018 ""' 3",3
985.6,1633.6,175.0,106.4,54.0,Sy S/ 5? 2 la,3
