left,top,width,height,conf,text,page
1823.82,739.47,185.29,113.59,53.47,"© l — mo /"" mmw1m&nz FM]EK E L ee ,/t — …I_TQ) gr n P |",1
1077.0,1825.14,253.0,137.43,50.71,"I/ |L—Ks j/ | ¿ o ""h—43%",1
1431.75,2494.75,425.5,124.5,45.0,"""ARDA¡ L|Ncummnz».cmsm¡iH|cuumv — r",1
2156.0,2118.0,18.83,26.83,36.5,"” , 7 D ta el",1
1953.5,2163.0,102.75,62.5,41.5,E la á' E,1
896.0,147.8,78.0,34.2,77.0,2 — (AVISO]) — LUNES 8 DE OCTUBRE DEL 2018,2
1635.0,1256.17,47.67,36.0,55.33,17 ( l n91 TP E,2
1913.52,1365.76,61.86,23.43,87.0,pack leche evaporado Panteón COTTUS Preciarosintarjeta entera x 400 g bolsa cristal x 900 g Yogurt GLORIA galones x 2 kg,2
1612.53,1844.94,43.62,22.44,82.47,EL y o H H P Azúcar rubia COTTUS x 5 kg Arroz Superior COTTUS x kg H Aceite vegetal COTTUS x 1 L H Trozos de Atún PRIMOR en aceite x 170 g,2
1636.67,1883.17,83.83,19.67,58.33,H eal H EAN;7750243035101 H ie,2
210.0,1876.08,19.5,43.83,66.33,*Precio exclusivo con CMR. — Stock: 1000 un/100 kg a nivel nacional,2
1382.83,2252.43,45.48,37.35,66.13,3 l ó 2 2 H ' - DEBITO S/ 09* sP¿:cmzo sin (av;Zao H —-—-—:It DéB—'lo 39' E .69 F Preciado sinter jet a,2
1407.11,2332.3,56.32,22.07,80.34,2 spaghetti MOLILALIA x 500 g c/u Tripack gaseosa Six pack galletas VICTORIA / SALÓN Papel higiénico COTTUS doble hoja x 32 un + Salsa Tomarla MOLILALIA x 160 *] H PEPSI + PEPSI + UP x EL H a en H EAN: 2000414614662,2
1520.8,2457.2,147.2,78.2,70.8,| ? 2© o lunes,2
990.0,2588.25,99.75,51.75,29.5,of in cloy e face it etn [nuevo o,2
