left,top,width,height,conf,text,page
1661.0,263.4,80.0,34.6,91.5,VIERNES 17 DE ENERO DEL,1
1082.89,517.78,164.89,64.0,55.29,y el »AN;M x¡¡|L=L RATE ELB©|L5Í]LL© ©E f 32…d9/7m,1
732.09,607.82,156.91,53.36,51.76,""" EE PLATITAEXTRA:A — ¡ MÁS OPCIONES DE GANAR K—á",1
1481.85,885.63,109.41,48.56,58.09,"— , EN : | _ '-2k'il l J N N , INTENTOQUEMAR — A S — CONGASOLINA — N TS NN Á PAREJA || €íáfá'fu'ífi 9Í.l&%""º",1
1123.83,1204.89,100.94,46.28,75.18,JUL|m ENFRENT. IEN [31Fen una calle de Franela g| go %HB ROJAS P[LENA CAILLE ganársela a la mujer.,1
1139.14,1277.43,217.43,95.43,53.71,N º . 0 .º*º WE1MI1© A,1
2239.33,1934.5,27.67,24.0,78.21,e Página 12 3 Y .,1
2293.17,2463.17,186.5,45.67,61.59,Ya a qr!f©naaa TE _/-=..lcasar_ .,1
1381.93,2604.86,52.98,24.67,64.93,"A d Z K y - :'¡…. , $ / Y revelan que mafia de % A EN 1 = A y Q “coyotes' hace ingresar aA … u N al Perú a delincuentes - ER l e dN extranjeros Q N",1
1457.44,2776.11,57.0,17.67,55.1,", %— 1 an CORTESÍA: FAGALY TY, LA FIRME""",1
1271.5,152.33,89.83,25.67,92.89,VIERNES 17 DE ENERO DEL 2020,2
209.62,1733.12,16.88,65.75,68.18,*Procio exclusivo con CMR. Stock:1000 un/100Kga nivel nacional,2
413.83,1070.83,134.0,74.67,44.33,"Se E e El ;,»3¿;;?¡ºqí 3F!Q_M",2
558.0,1390.75,108.0,27.75,88.35,Sixpackleche evaporado entera/ light,2
676.2,1429.4,80.4,21.0,80.03,COTTUS x 410 g EAN:7613036552832,2
552.5,1851.75,62.0,53.0,68.79,¿ s/ 1 2.49',2
544.6,1968.27,58.6,22.93,92.81,Pack BRANDT jamón pizza x 200 g + Queso Edam Anchor x 200 g EAN:7752346004961,2
1154.83,1993.0,80.33,21.83,85.14,LA PREFERIDA x 800 ml EAN:7760151506694,2
704.9,2481.05,54.43,32.67,73.55,"56 — , C/PACK g c /U Pañales HUGGINS big pack s / Active Sec: Ex 80/XG x /XXG x H",2
762.31,2546.88,34.31,19.56,73.19,Natural Care: G x 76 /XG x 68 /XXG x 68 Shampoo H&S x 700 ml,2
1114.8,1370.6,79.6,25.8,91.29,Six pack mezcla láctea compuesta,2
1464.27,1402.73,68.73,24.45,88.66,IDEAL Cremosa x 395 g c/u Arroz extra grane adu to COTTUS x5.5kg,2
2471.43,1409.14,58.57,25.57,83.15,Aceite vegetal PRECIO UNO x 900 mi,2
2445.17,1955.17,82.17,23.67,82.7,Agua COTTUS bidón x L EAN:2000404719124,2
1801.4,1974.2,76.0,22.0,79.67,Helado prem¡um D'ONOFRIO x 11,2
2125.64,2497.07,56.68,30.36,85.51,C/u : S/ .90 H Preciado sm(aqe!a H e 10 c¡u Shampoo / Acondicionador Tripack Jabón COTTUS SEDAL x 340 ml H original / hidratante x 150 g,2
1322.83,2668.33,76.48,29.44,86.35,"TEA Máxima Consumo total S/ 1000, plazo 12 meses, envío físico de estado de cuenta mensual SE 10, membresía anual: S/39, mgumdedasgmmenmensual$]690 panal»dadmporpagoauasadoaduonalalma&smg&prlmwam factor de amortización de 24 meses. Año 360 acumula con otras promociones. Precios no para compras por internet. Slod<dspomie10umwmmtodeallmmtaaónydemallmmónenm cadena. Máximo 6 unidades por persona por producto. Fotos referenciales.",2
2523.56,2680.89,44.22,27.33,90.67,ofertas exclusivas con tarjeta CM máximo 6 unidades por,2
316.4,1419.2,55.5,23.1,63.65,Tripack trozos de Atún en aceite COTTUS x 170 ge/u,3
280.75,1957.75,87.75,27.0,86.07,Agua SAN CARLOS cajax20L,3
355.67,2586.5,59.17,23.67,93.72,Detergente ACE limón x 4000 g,3
1279.98,2661.9,46.88,23.96,88.29,"días, IT 0.005%. Aplicable a tarjeta CMA. Ver Tarifario de nuestras Tarjetas CM en vivw.bancofalabella.pe y Agencias. Condiciones: Vigencia del 17 al 19 de enero de 2020 en Supermercados Cottus. Ofertas no válidas en Cottus Fusilados ni Zoritos. Precios para consumo familiar y/o hasta agotar stock. Precios no",3
1443.5,153.5,95.67,25.5,92.99,VIERNES 17 DE ENERO DEL 2020,3
1423.5,1414.0,44.5,24.75,82.89,Corn Flakes : Helado COTTUS x 5 kg,3
1589.71,1976.29,102.0,23.0,81.1,Toallitas húmedas COTTUS doy pack x 192 un EAN:2000407241486,3
950.17,1949.67,66.5,22.67,75.59,Gaseosa INCA KOLA + COCA COLA,3
925.17,1990.5,77.33,22.83,71.07,+ FANTA tripack bt xxl EAN:7760182003414,3
986.67,2584.22,64.0,21.33,91.71,Insecticida en aerosol RAID mata cucarachas x 360 cc,3
653.13,2682.35,44.32,24.23,88.48,"tipo de producto por tarjeta por la vigencia del aviso del 17 al 19 de enero de 2020. Información difundida de acuerdo al Reglamento de Gestión de Conducta de Mercado vigente,",3
1594.89,1441.22,45.56,23.11,73.32,Vainilla / tricolor / Tecuma chips / vainilla chips,3
1751.17,2566.33,39.33,22.67,77.08,doble hoja ELITE x 40 un,3
2264.17,1413.67,59.33,24.33,90.88,Yogurt bebible COTTUS x 1.9 kg,3
2338.0,1737.6,45.8,40.8,70.45,3 4 C/PACK S/ .90,3
2216.77,1961.41,90.41,25.82,72.12,S/ 32 M q Pañales COTTUS Cuidado Premium/ Súper Absorbente Cuidado Premium:Mx72/Gx 64 /XGx52/XXGx 48 un Súper Absorbente: Mx 64/Gx58/XG x48/XXG x44un,3
2148.83,2141.67,146.67,27.5,89.45,", ENCUENTRA MAS PRECIADOS EN TOTTUS.COM",3
2568.71,1781.86,16.86,77.86,69.97,*Precio exclusivo con CMR. Stock: 1000 un/100Kganivelnacional,3
1001.5,152.5,92.5,27.12,91.64,4 ¿AVISO) VIERNES 17 DE ENERO DEL 2020,4
1970.8,796.84,45.68,41.08,74.33,"Pechuga especial Piernitas y muslos punta lomo 9 U de DGIF[] im30naaa 49 de pollo Í?BSGG g Ú de BIGOD "" Kg "" "" Kgs",4
2238.74,1438.21,45.63,39.05,69.13,o - y/ pasillo y Seneca de pol recocido SAN FERNAND - 9 n SAN FERNANDO y g U,4
1089.38,2129.69,54.77,49.77,63.9,d ” Melón cogito / 2 PK X 12 a X 355 ml,4
871.98,2403.0,72.23,23.04,90.26,"Precios válidos del 17 al 19 de enero de 2020 o hasta agotar stock, lo que ocurra primero. Stock mínimo abarróté producto, a nivel cadena. Publicidad dirigida a mayores de 16 años. Aplican condiciones y restricciones adi térmín%s, condiciones y tari fario de la Tarjeta oh! vigente visita www.tarjetaoh.com.pe; esta información se pro| 3274-2017.",4
1297.71,794.93,78.25,42.11,67.89,Asado de Tira/ Arroz extra El en ' Leche evaunrarIa S/ g 3g¡:gr¿&scnnarrillem S/ 10 VA…NUHTE S/ U aanem¡tauann 80 AGBIIBUBSUVG S/ 49 mnus/l¡ght CU b mxgunm| 400,5
1732.12,1066.5,71.44,45.12,65.12,AL EN E A$ ALTO EN - snm n non s AZUCA“ EVITAR su… Exceso v — I( EV,5
