left,top,width,height,conf,text,page
2479.2,927.4,61.8,30.0,93.21,El adolescente interceptó a las,1
2506.5,987.0,56.17,27.5,80.15,pequeñas y — secuestró a Camila.,1
2427.15,1473.0,58.0,33.31,89.42,24 La hermanita menor su prima de 9 años usaron ayuda desespera as.,1
1269.18,2589.39,125.75,52.5,72.5,Q M ¡YA E£HIP;ZÓ' Por compras de $/ 25 en estas marcas: LLEVATE A … arzo de Precios a T Costero bolsa M€trº insuperables EW E K=,1
2093.06,2737.81,37.31,18.69,84.21,:enda virtual Por a compra de S/ 45 en productos de las marcas Huggins Suave. Scot,1
1019.39,2739.52,40.9,18.13,75.28,… tocó vend ee US Promoción válida d 2 d Febrero 5115 de M d:ág 20 en las vendas Metro a nivo! nacional y/o hasta agotar stock No al 12.000 wl,1
539.41,2753.76,41.71,17.18,77.37,… bon y/o Plenitud + 5/490. 14 c ñoExua e 5 kg Cantidad m. >dad . Toc,1
500.68,1308.8,69.97,27.25,91.74,"I fotógrafo Gary llegó al restaurante por un rico pollito atacada china con papas doradas, ensalada fresca y adicto molido. Para tomar se pidió una jarra de agua de piña heladita. “María, como te comentaba ayer, la muerte de la pequeña Camila me ha conmovido. Ahora que acaban de empezar las clases en los colegios particulares hay que tener mucho más cuidado con nuestros niños. El acecho de pedófilos está latente en las redes sociales y también en las calles, donde hasta podrían intentar acercarse. En las afueras de los planteles, con el cuento de un dulce o un regalito. Estos usan diversas estrategias para captar al menor y, aunque no se puede generalizar, hay ciertos rasgos en el perfil de un acosador que los puede distinguir del resto. La Policía ha dado recomendaciones a los padres de familia para evitar que nuestros pequeños sean víctimas de estos malditos: + No envíe a sus hijos a la escuela solos. Las desgracias pueden ocurrir en cuestión de segundos y a distancias muy cortas. No exponga a sus pequeños. Tómese el tiempo para acompañarlos y asegurarse que entren al colegio. + Si se le complica por el trabajo, encargue esta responsabilidad a un familiar o persona de entera confianza. +Establezca confianza con los niños para que le cuenten sus actividades diarias y le comenten si algún extraño los está acosando o se está acercando maliciosamente. + Enséñele a reconocer su cuerpo y explíquele que nadie puede tocarlo. + Dialogue con sus hijos y adviérteles que no conversen con gente extraña. Háblales sobre los peligros que existen en la calle. Otro peligro contra el que los padres debemos luchar es la internet y sus redes sociales. Ahora que los chicos estarán más pegados a la red por los trabajos de colegio hay que tener mucho cuidado, pues los enfermos están al acecho. Estos pervertidos se crean perfiles falsos para contactar, averiguar dónde y con quién vive el menor, a qué colegio va, a dónde sale a jugar o qué sitios frecuenta. Por ello, la Policía también sugirió que no publiquen datos personales (teléfono, correo electrónico, actividades, gustos y otros) en redes sociales. Los padres deben prestarles mucha atención a sus hijos y conocer con quiénes se relacionan. Por más cansados que estén, siempre lleguen a casa y pregunten cómo les fue en el colegio, cómo se sienten. Preguntas simples, pero claves",2
1857.8,910.2,102.0,44.2,93.07,Molesta por subida de precios,2
1819.53,1116.28,57.8,27.2,92.17,"©Todos los días suben los precios de los : productos en los mercados y nadie dice : nada. Cada día se compra menos con lo poco : que se recibe de pensión y eso es culpa del : gobierno, que no se preocupa por los más : pobres. Encima, las tarifas de electricidad, : teléfono y agua son altísimas. ¡Qué falta de : humanidad de las autoridades! José García : Vecino de La Victoria :",2
1273.8,1098.42,69.72,28.72,89.16,"Preocupado por la violencia © Veo en las calles demasiada violencia. Los delincuentes ahora matan para robar un celular y no respetan a niños ni mujeres. Qué está pasando con nuestro país. Urge que los padres cumplan con surol, que es educar a sus hijos con amor y disciplina. Sin embargo, hay tantos que tienen hijos y los abandonan. Haría López Vecina del Rima",2
1874.61,1454.36,64.39,27.45,91.98,"El presente gobierno es criticado desde hace tiempo por su incapacidad para reactivar : economía del país. Los empleos formales cada : vez sondeos y los jubilados, como los de la Ley : 19990, reciben verdaderas miserias con las que es : imposible vivir.",2
1217.24,1444.0,63.38,27.1,89.89,"La mayoría de delincuentes provienen de hogares rotos, en los que hay ausencia de uno o los dos padres, o en los que reina la violencia. Los papás no pueden transferir a los colegios universidades su responsabilidad de educada sus hijos.",2
1492.67,1677.87,75.67,19.6,74.62,"CONGRESISTA LUCIANITA, A DÓNDE LE r LEERLOS E Y EL REO BULL? SU DESPACHO O",2
2420.21,657.11,69.89,30.89,89.97,Mambrino ha mejorado y madurado enorme e inmejorablemente. ¡Orgullosamente peruano y muy feliz de que este en,2
2386.27,943.2,81.2,32.87,83.16,BocaJrsOficial! OShey2403 ra LEERLA EA ¿Cree que Vicente Caballos debe dejar de ser primer ministro?,2
2410.67,1154.67,67.08,26.58,89.32,¿Cree que Luis Castaña debe ser liberado por las enfermedades que padece?,2
2389.8,1304.2,117.0,43.6,48.04,Si17% NO 83% EL DÓLAR,2
2444.2,1519.8,57.2,28.2,79.05,“COMPRA y — “VENTA $,2
2396.22,1775.59,100.19,25.07,90.39,EMERGENCIAS Bomberos 16 Emergencias 105 Defensa Civil ns Salud 4118000 Águilas Negras 3623277 Escuadrón verde 4276904 Luz del Sur 6175000 Semanal 3178000 Indecopi 2247800 Enel Perú 5171717,2
2377.1,2030.9,89.2,24.3,79.99,"- MALO TOME PARA CUALQUIER CONSULTA SOBRE LA PROMOCIÓN, LLÁMENOS",2
1536.14,2218.86,65.72,29.08,76.01,"PE .. . w Director — Contenidoelaborado — Fax:311-6353. Impreso en la Planta Dando de Empresa — Hecho el Depósito Legal en la Biblioteca para iniciar un diálogo sincero con ellos”. Mi amigo Gary ¡.i Periodístico: - por Empresa editora El - Página web: Editora El Comercios . Nacida dl tiene razón. Toda precaución es necesaria para cuidar a Carlos re tome NP530, Pueblo Libre Losartículos firmados y/ode opinión nuestros hijos. Me voy, cuídense. Espinosa — | Todos los derechos reservados. son de exclusiva responsabilidad de Olnay — Tetéfono: 311-6500. Publicidad: 708-9999. | Prohibida su reproducción total o parcial. _sus autores.",2
1423.25,2705.5,184.75,36.5,81.05,POR: ENRIQUE SILVA ORDENÓ,2
2088.27,312.91,111.45,47.55,75.19,"¿Tiene antecedentes policiales, ., % asaltó un grifo y el año pasado — * $ fue denunciado por agre dira una — 178 enamorada",4
1338.12,1391.62,98.25,33.38,86.54,| demuestran que estuvo con Joliet en una,4
297.09,2009.43,62.65,26.43,93.2,"A plena luz del día, despiadados pistoleros de una mafia de traficantes de terrenos atacaron a balazos a dos mujeres, en",4
729.0,2122.13,58.61,26.48,89.66,"Desconocidos arrojaron a la vía pública el cadáver de un hombre de 58 años que fue asesinado a golpes, en Surco.",4
2497.8,287.0,24.6,32.8,51.89,"a á:*""— M » á",4
2225.17,520.75,64.71,27.58,86.11,"na semana después del macabro hallado del cadáver de Joliet Vidaurre Peralta — .. F18] dentro de una caja de cartón, cerE",4
