left,top,width,height,conf,text,page
283.62,479.88,75.75,34.38,55.0,p a o pan— e lLa(cuarente— F y,10
194.14,990.79,187.53,37.98,52.21,"es (c¡0]parc¡al'de'algunas* ¡i— !Io.queprovocaratque tsalga' ee me e e respecto)íromeconvers&con [El dect0r]uanM¡llena pnnc¡pal'deMed cinalinter— nagelinfectolagiadelalUniver na|Mayordeí&am lMarcoswe . decano (de|ColegloMe se¿amplló'latm¡aren,: Iperomud1wnola Ios¡mfeetadosos¿guen[en'au¿ [ E $S|n'duda1neyan*a*acabarfpere* (esene;gs'el[preblema55¡no,la ce ltema'deí»5alud,y,la]lnsuflc¡en— lte.respuesta1frenteoa'|es'ca— $sos*que;segu¡ran*aumentvan— (d0'estas<semanas*lNoes*por IIa(c¡frajslneque,yaínohay,ca— mas'UClll|bres&sawojponmo— mentosí[algwens eldealfao; lfa||ecemde.¡nmed¡atoetroíla¡ (0cupa],y)las*de.hosp|tal¡2ac¡on¡ S p oe (aLatcuarenfenas[g¡[e:—s'¡bm (Qb]n'a",10
165.0,1759.67,236.58,38.75,56.67,"fapasear,fahorabus naten: (c¡on,y¡emsusúrasIados*p0— (dnanestancentaglando]ln— (c|usa*abomberos']polluas* lN|I Edecindellacantidadde mé sy¡enfenneras*¡nfec— tradestenesta'batalla. Hay;se'readmn_parelal; [mentealgunas'actm'¡'d'&d&so",10
592.75,435.92,179.0,39.17,51.25,"Lapoblac nnolegratenten> (derque!lacuarentenac0nt¡— $segu¡r¡conas¡entosíllbresy l|ape 0_nanepuede;sal¡ns¡n e'dehn|deí[allmentos,, ese We eo vaqpaseando'de'a'dos'e a",10
634.75,656.5,146.5,28.25,63.25,(¿Qu'áfall'6?¡La1B8€desta; (eálafm mal¡d ',10
599.25,873.0,153.0,44.0,74.5,"Pegues verme 01peroeam— Ipeameltdesorden,y)la",10
600.16,1180.53,181.05,37.0,50.74,"l i casa*agreden p0||c¡as:[laldellncuenc¡aestai |n¡lde¡trans¡to'lhawp |3 muy¡alte de t autoridad est co — |nuptas,1u|t|mes¿gobemantes t0dos'denunc¡ados*[Gamana oT come'enjambre'de]per— p e (ca|de3wenplena]pandem¡a,w hay¡muchagente (dellas*reguonesquenend0.vol— xx(¡¿enaisusc¡udades*",10
636.62,1709.85,188.62,37.0,46.31,Elvirusnotentrasol |puertan|lporílayentana1mles* th”enela¡retesúransp porlas: $sonas—3y)lamayonalde.¡nfec— l rule a sprue b enmercados: |muestranque.mía's*del50(6ú)! ea ie ee e $seílasp||asmtrabajancon]los_,10
1795.44,743.59,178.0,38.32,50.65,"lmercades*¡t|nerantes/que& e a i o 'des*t¡enen]plamflcade'don— t ese 3whasba1l05*mawonstaswen— basura genoempezana*a'ítaltar? S| 0'alcanzaqporque* I|ademanda 3yorlPrefennan0dec¡rlo,!legl .camentejporquella¡gente,po— 'dna*asustarsexentrar(en]pam— tcayperatalavezéestabiengue t0nc¡enc¡amsecu¡den Ipod f amo si llegara que _ E nej[tábletmenfá'lleeh lL'amentablemente ss |puede faltamoste! 0x¡gene)y¡ ee a .cedenque1l|eguena]la]puerta del ta",10
1808.09,1445.73,195.36,42.36,45.27,"'a_]pesardees ts Dit ssrde…hambre_sulnos lbajar*mla¡fraseesmal|da1pue— 'de,pasargesfaerwquesene— .ces¡ta1traba¡ar1pero_que 151 |muert0]mas*de£'m¡|¡por(elm— IMuchosier¿t inllaestrate>",10
