left,top,width,height,conf,text,page
1436.22,310.89,77.44,39.22,67.33,DE MAYO DEL [1¿i muy x¡'xn 2020 S/* o,1
1813.0,613.4,251.6,45.4,56.4,UN(©HIIC.1IEIEUEN(C' EE $HN©ER.W(©RÁI.SS = .,1
752.53,2307.63,146.58,78.0,52.26,"(e' Páginas a ¡5**¿5N(í¿r¡—¡(»¡—¡*> es EI_“DI—E] _… Í€__h./—»…) '¡ Il /.— IDO FOTO: x / I“r'=""¡… |D |] (G…NGÁA&2",1
807.56,193.89,206.33,81.0,49.11,"16 LQESPARBEN le |""“'l RÚ m%¡ño¿&mñ %o¿%%3%áo$f&om e ese",10
1546.29,825.29,343.29,57.29,62.76,PARADEROS . 2 ©)AFIRMAQUE|RECIEN | . y | |LAtnmnemmvwmnm LAPOBLACIÓNACATAR — / ... 'o3¿;o¿'3¿£?¿…… BERICROSOSE: i” f$3¿%2¿2£2¿333%£í??3,10
2168.0,1156.29,273.43,39.29,56.86,"W12cawna_£añurmoque,nos (encontramoslen]]a(etapa decontencióndela (demla)yqu&la""¡pobl ión (debe,segumacatandalas '“L;inandem1&se,s",10
1645.67,1398.44,167.33,42.89,62.22,(c¡enmamosal»50 I13LW£ on— ©3 ¡v tencióndelaenferme— ¿ (dad”'dl]0 lDesd&Palac¡odeGabler—,10
2179.38,1803.31,206.31,38.07,54.69,lnoxwzeawr¡'ahlndlcaque…e]l (contagla en1]osparaderos es semc10detransporte 'publlca esmás: nesgoso> ee e eo '“Eljporcenta]edecont» e (glos/en)paraderoses*mas pellgr650;p¡rque…el¡pasa— ¡]emse.tnrasladaWanosikl— 1]omenros'en1]ac1udadylsu (e9pos¡tnyq4estatxranspor— tandoelwiftusiHatentos lmascontmlesen1bu— fse su a greg m lla(emergenc¡ana— (c¡onal'(elíMumste… ii e fsa))'lnfommque trashacermáste umm¡llon( eprue—,10
237.2,2433.4,61.2,41.2,51.2,'!o' D EE “J BSIDIO),10
1592.0,160.38,111.25,25.38,85.88,DOMINGO 31 DE MAYO DEL 2020 fACTUALIDAD) 11,11
2015.17,290.67,193.83,68.67,84.33,combines lejía con productos de limpileza!,11
2019.67,427.56,90.78,32.89,88.78,Sigue estos consejos para desinfectar las superficies con lejía,11
414.0,298.0,163.5,42.0,85.75,MINISTRO TEME UN REBOTE,11
