left,top,width,height,conf,text,page
7289.5,1136.17,260.5,101.5,67.33,a JUEVES 13 DE / OCTUBRE,1
11674.14,1285.0,63.29,32.43,45.0,os [ y s (o E p,1
7646.0,7038.0,191.75,123.75,90.5,Páginas 8 y 9,1
5235.0,10983.25,678.75,149.75,53.5,—-—a LOTERÍA $0.[LDUCÚUÍC POZ,1
6482.5,11261.57,359.93,154.64,59.07,"3 — | … — l — l ee a * nnw w mormo © 7,",1
6748.45,11643.16,168.58,68.48,60.48,a! ©'] PU.&U.IE&U[EJ& | / — | OF N . El Informarse las reglas es juego en p | * — | ” y | a u e ga pe mi,1
2395.03,3345.75,282.33,116.62,79.44,"M"" | amigo, el fotógrafo Gary, llego al restaurante por un po— lito eal horno con algerita partida, ensalada de [I Eh&…ug¡ con palta y, para tomar, una n¡ramg&da sí Ú*o'""o[?í|li en de la o la to televisión de 5 que dice o hace, pues pais mmm pama o r es vertido en de muches nific aú[[n_¿ nic Especialmente va el mensaje a los bailarines, m¡deH¡5 o cantantes de cuerpos moldeados, quienes a veces entran en polémica por el peso de alguno u otro miembro de la fa— randula, En estos últimos días, se ha Informado de la pelea WIFE ee Ring pues la primera dijo de la segunda que se había ”comido la banda a gástrica' para se— nadar que estaba subida de peso, Ciertamente la cantante de Agua Bella no está obesa y, como Intérprete, no vive de su cuerpo,. Ade ma% ii 3",2
1734.0,4672.67,263.25,112.08,74.33,Este tipo de decoraciones que e o que Ro es úlg¡ia t,2
2438.56,6588.2,302.59,113.12,82.42,"S Úl&íma:um y _ | sa 27 tener un acuerdo f2&:¿3“h í¿j? ha¡n ta ! Ell'llil l]ll de los ¡pllí*ñ].p.= els lez reality ce la t h%]wn= sión. Muchas chicas, sobre todo, pueden entrar en ese torbe— lleno de la blim la, que es un trastorno alimenticio lo y psicológi— co caracterizado por la adopción de conductas en las cuales el individuo se aleja de las formas de alimentación saludables ee pueden sufrir de anorexta. Esta es definida como m trastorno de alimentación que hace que las personas pesen menos de lo que se considera saludable para su edad y es— tatura, generalmente por una pérdida excesiva de peso. Las personas con este trastorno pueden tener un miedo intenso a aumentar de peso, Incluso cuando están con peso insuficien— te, Es que la televisión y los medios han idealizado los fktness, subiendo a los altares a la gente joven y delgada. Pero esa no es la reslidad,. El mundo está hecho de gente muy diferente: altos, bajos, delgados, obesos, morenos, claros, con los ajos rc&©©nn©ilg alargados, rublos, E©EH rojos o de pelo azabache... Y yo creo que la medida p por nuestros lo ngm& pro— festivales o de vida. A todos les entrego estos consejos para amarse más: la Hay quienes nos gusta la gente en— ncamr33 a delgadas. A otros nos gusta la gente more—",2
2111.37,8558.53,272.32,124.05,79.16,"na o de piel clara. Nada es mejor que otro, con la que clics en presencia de otras personas,",2
1978.47,8888.37,330.58,124.11,68.26,especialmente si te refieres a los cuerpos. Nadie es p€&oíf%©t© s l s e e DCentarezta el efecto de,2
2513.43,9766.95,267.91,115.28,79.11,"_ serdales, se muestran cánones e d© belleza que a veces son chama bles. Más aún cuando esta belleza se ha hecho a base de operacio— vu%t©q saludables, Por ejemplo, comer sano, hacer ÍE[QJJHEE ) an&Jartua del sedentarismo. &h, la televisión y son mundos de a aropel. Así no es la real! idad. Si no, sal un ra a tu barrio y ve si te encuentras a Brad Pit 0 a je Jinn fer López”,",2
1582.67,10344.67,305.83,119.17,83.0,"Buena voz, Gary. Me voy, culdense.",2
5987.62,1576.12,346.62,117.5,59.0,l la ES TÁN oFUE&TE” UN MOMENTO BE,2
5677.85,5677.12,271.57,109.61,85.13,"Tengu dos hj] h¡ 10 años. Como se = viene Halloween, me tienen loca todos los días pidiendo que les compre los 2 la fiesta que están organizando en mi barrio. Cuando era chiquita, yo no recuerdo haber festejado ese día. Es una moda traida desde Estados Unidos, como muchas que celebramos, como esa blanca Navidad en un desierto como es Lima y toda la costa peruana.",2
5600.12,7350.31,224.75,101.94,79.12,El mismo día de 1%Hahwe¿am ) celebra en el Perú el Dia de la Canción Ertolla.,2
5572.29,7698.48,301.9,126.95,70.38,ei oe w“f&$ celebran lo segun— de y los niños lo primero. Entre [ll£$ ie una tradición los disfraces y |,2
