left,top,width,height,conf,text,page
557.0,117.8,58.2,35.0,52.8,a e XWhatsapp (951 ——,1
1089.0,165.25,61.5,43.25,75.5,[ ( ANO 18,1
419.85,1199.0,20.85,28.92,55.85,"] ) | 1 _ ez n 3 v '7 IVÚ4,Í—/ l m",1
805.73,1549.21,124.21,49.73,56.61,e= ' 1'-'A >[3 r( |;]_¿X?SI'-[:_$L%_X%_ :_1 GOBIERNO _Ú©J… a IIII(CE QUE EMBOTO 0) A&NINISTRADE | y v'í l» / …_¡ (=IR3gih'.a'.t5£ (©UL?URA Q 3 DEBEN RESPETARIPROTOCOLOS DE BIOSEGURIDAD PARAEVITAR E—5l © Ot,1
1483.18,2533.09,114.64,42.55,66.82,s | l FISCAL AFIRMA QUE DELITO |D_E COLUSIÓN y /¿&ÍAR,1
1351.78,2604.56,109.56,29.67,69.0,SE CONDENA HASTA CON SEIS ANOS DE PRISION e,1
265.86,373.71,159.0,63.14,89.14,Rinoceronte furioso ataca a guía de safari,10
243.7,622.88,63.48,24.58,88.06,"G) Los integrantes de un safari en Sudáfri— ca pasaron el susto de sus vidas cuando un furioso rinoceronte negro cargó contra el guía, quien esca— ó por poco. el Parque Nacional Greater",10
670.08,596.92,64.5,24.92,87.79,"Kruger. Frank de Beer camina— ba cuando al ver al pesado animal emerger de entre los arbustos, le dijo 'Hola, muchacho”, mientras lo gra—",10
709.5,754.29,59.5,23.0,91.14,baba con su cámara. El rinoceronte corrió para embestirlo y él huyó en otra,10
1165.83,158.33,78.17,24.67,91.33,MARTES 2 DE JUNIO DEL 2020,10
1022.5,338.0,38.0,45.5,63.75,(e / ir f,10
1370.5,558.0,82.5,24.67,52.83,motivos ele gg]úslnlvmkomitn'tsm'l E Itsl1ñ'(cl.1.¡slx7|ksl |,10
1254.0,639.5,16.5,20.0,38.75,s ss a d,10
1393.4,714.0,30.8,32.8,37.2,"es perr s E Sall,",10
1268.55,1026.55,96.64,23.45,86.91,"SON RECOMENDABLES ©Cítricos: cama cama, naran— jas y mandarinas, papaya, cocona,",10
1281.5,1188.0,83.44,24.88,84.56,"brócoli, espinaca, pimiento, palta. . ©Semillas como linaza y ajonjolí. ©Buena hidratación y consumo de robóticos",10
215.83,2165.33,100.17,57.67,75.5,el ara Usar jen su dinero,10
252.76,2457.97,59.0,23.9,90.69,"Si decidió retirar el 25% de su fondo de pensiones adminis— trato por una AFP, debe pensar muy bien qué hará con ese dinero, indi— có el economista de",10
690.08,2450.85,61.0,23.92,91.23,"la Universidad del Pacífico, Jorge Carrillo Acosta. ”Poner tu dinero en depósito de aho— rro a plazo fijo en bancos o cajas munici— pales, es una",10
1064.92,2312.65,64.57,23.98,88.59,"buena opción, pues cen tasas de interés hasta de 7%. También e e de seguros, con tasas de rentabilidad supe— rigores al 6% anual, bolsa de valores o en fondos mutuos”, dijo. Consideró que poner un negocio es una mala idea. ”En esta crisis es arriesgado y si se que— dó sin trabajo, primero debe pagar cuentas, comprar alimentos y medicinas”, acotó. [JHV]",10
1843.95,706.42,54.85,25.08,88.92,"G» Kylie ]_enner. qu_ien solo tiene 22 años, es una de las jóvenes más ricas del mun— do, pero su familia está preocupada por la rapi— dez con que gasta su dinero. Solo en el últi— mo año habría gastado",10
1677.44,1026.0,53.22,24.89,91.22,hacer ejerci— cios. Dormir de 7 a 8 horas,10
1487.97,1651.12,65.08,23.94,87.55,"reforzar sus defen— sas, más ahora que aumentan los res— fríos y que estamos en plena pandemía. Aunque no hay alimento milagroso, la buena nutrición es una aliada y hay 'súper alimentos' como la maca, la lúcuma, los granos antinos o la miel de abeja. ”Muchos estudios cien— típicos constatar que una dieta variada y saluda— ble, que incluya minerales como el cobre, zinc, hi& 5",10
1725.55,1205.27,66.0,24.55,77.82,"fumar. 6 E e productos procesados, altos en grasas y azúcares.",10
1837.33,1411.33,107.83,33.5,86.58,&<Señalan que es importante comer bien para tener defensas ante las enfermedades,10
1859.03,1658.61,61.68,24.65,89.19,"como la A, B6, B9, B12, C y D, tienen relación con el buen funcionamiento del sistema inmune”, seña— 16 la nutricionista Milagros Merino, docente de la Uni— verdad de Piura.",10
2292.13,611.59,67.72,24.15,83.33,"más de 130 millones de (e e Es que la menor de las hermanas Kardashians compró mansiones y aviones privados. Como si fuera poco, Forbes señala que (6 Rra S declaraciones de impuestos para ser considerada una multimillonaria. &",10
2266.14,1140.51,60.4,24.49,89.16,"sionista Adriana Carulla, autora del libro la vida y la dieta”, desta— có la importancia de ”alimentarse bien”, ya que ”ahora hay más resfríos y es tam— bién factor de riesgo para el coronavirus pues el sistema inmunoló— gico se debilita y así",10
2244.46,1421.46,72.38,22.69,81.0,no genera mayores defensas”. MIEL DE ABEJA o [OlG]! en medicina natura REINO,10
2254.91,1716.17,66.63,25.07,86.85,"como María Pongo [Fitosana) y el bió— logo Blas Silva también aconsejan maca, quinua, sacha inchi, miel de abe— ja y propóleo. Este último por su acción antiinfiamato— ria y antioxidante, la maca porque da fortaleza a toda edad, la lucuma porque también proporciona energía y es apre— cada por los niños. (Isabel Medina)",10
2070.4,2031.0,63.4,23.0,87.2,&MÁS DE 6 MIL SOLES,10
1488.5,2137.5,128.5,49.5,91.25,por no tener papeles,10
1591.25,2267.41,64.59,25.03,87.41,"G) Por no tener SOTA ni tarjeta de pro— piedad, además que la cotopaxi que conducía en pleno 'Estado de emer— gencia' llevaba una placa de madera, Gerardo Pachuli (31) fue interveni—",10
2092.06,2284.33,54.78,24.94,87.83,"G» se reportó en el precio de balones de oxige— no, que son de vital importancia para sal—",10
1781.12,2405.29,57.62,23.21,89.96,"do por la Policía, pero se resistió var a pacientes con y escapó para refugiarse en una empresa del Callao. Los venden en seis",10
2169.38,2492.75,64.5,22.25,91.75,mil soles o más ante el reabastecimiento en,10
1807.39,2541.23,73.58,25.03,88.71,"Agentes del Escuadrón de Emer— agencia Callao cercaron el predio en la avenida Argentina para evitar hospitales. Incluso, pagan unos que escape. Minutos después, se 200 soles para recargarlos. [+] o",10
311.8,1903.6,179.3,31.8,58.6,las próximasiharasthabría un prenuncia— imientooficial. Traseendióquere! Ministe— habríaaprobado€l preotoco— leparaquelostequipasretornentalosten—,11
503.2,2132.3,164.0,43.7,56.4,"Solo queremosquese:fespetedonde hemasquedado: Si regresaí, que de 'No pode mes dejan que gl ffi tbol ¡profesional",11
850.2,1819.7,122.4,32.6,43.9,los pla rite les pasaránpruebasidedescar: tedelGovid QUE es g e e e Fútbol,11
1407.07,350.93,107.79,41.64,44.43,SECREÓCONMITE e t Te eo la 3 gy E o IPOR PRUEBAS BE ud,11
1329.42,1851.25,165.5,37.5,58.83,isedetínica y (contadioy teniendoencuentaquejpara' loswialestinter— pasaporte programación (delApertura'alque lerestaniSjomadas. Seanalizarian (cantelan ©,11
1302.6,2150.6,211.6,46.6,40.8,2 ei fueronllostnicostausertes<en latreunión: portal,11
2033.2,148.6,192.6,37.2,58.4,&TRAERÍANIPOR TIERRA /A . DTIDE/ALIANZA:,11
1983.5,740.0,107.42,38.58,54.17,"(<¿9(Clon* lallligaf! Alianzalltimatace— *% lera allegada Elviaje, tura— muy castesa, es.unwuelojprivado:.. ©",11
